n07908411,absinth
n02522399,cod
n07929519,coffee
n12662772,coffee
n02536864,coho
n07927931,cola
n07808587,coleslaw
n07714188,collards
n07567139,coloring
n07604956,comfit
n12822769,comfrey
n07817160,comfrey
n07611046,compote
n07567390,concentrate
n07882497,concoction
n07810907,condiment
n07704205,congee
n07934678,congou
n07642471,conserve
n07584110,consomme
n07576577,cookout
n03105214,coquille
n07865700,coquille
n01915811,coral
n07731952,corn
n12143676,corn
n12144580,corn
n07568095,cornmeal
n07724492,cos
n07817599,costmary
n07937461,couscous
n12249542,cowberry
n12578916,cowpea
n12578626,cowpea
n07681926,cracker
n12245695,cranberry
n07743902,cranberry
n02562796,crappie
n01985128,crayfish
n07847198,cream
n03128519,cream
n03130563,crepe
n07732747,cress
n11869351,cress
n02596381,croaker
n07866015,croquette
n07682197,crouton
n07718472,cucumber
n12165384,cucumber
n07805478,cud
n12936826,cumin
n07814634,cumin
n07933799,cuppa
n07909954,curacao
n07850083,curd
n07849912,curd
n07752966,currant
n12805146,currant
n07744246,currant
n07823951,curry
n07718195,cushaw
n12162181,cushaw
n02525382,cusk
n07619004,custard
n07557165,dainty
n07914413,daiquiri
n07751737,damson
n03173387,delicatessen
n03174731,demitasse
n07609840,dessert
n07745197,dewberry
n07561112,diet
n07560903,diet
n07561590,dietary
n07827896,dill
n12931542,dill
n07575726,dinner
n07860988,dough
n07639069,doughnut
n07605282,dragee
n07605198,dragee
n03237639,dressing
n07832902,dressing
n03250847,drumstick
n01847170,duckling
n07618119,duff
n07611148,dumpling
n12190869,durian
n07762913,durian
n12936155,earthnut
n02526121,eel
n07932039,eggnog
n07713074,eggplant
n07765208,elderberry
n07883384,elixir
n02526425,elver
n11953339,endive
n07579575,entree
n07920052,espresso
n07568241,farina
n07800091,feed
n12939104,fennel
n07817871,fennel
n07817758,fennel
n07814790,fennel
n03331244,fiber
n07753113,fig
n12401684,fig
n03338287,filling
n07883031,filling
n07919310,fizz
n07611267,flan
n02657368,flatfish
n07809368,flavorer
n00443803,flip
n07914887,flip
n03364599,float
n02657694,flounder
n07569106,flour
n07617344,flummery
n07605380,fondant
n07867883,fondue
n07867421,fondue
n00021265,food
n07845087,formula
n07592094,fricassee
n07727377,frijole
n07605474,fudge
n12434775,garlic
n07818277,garlic
n07621618,garnish
n07585758,gazpacho
n07643981,gelatin
n07899976,generic
n07904760,geneva
n07763290,genip
n07763483,genipap
n07848936,ghee
n07758582,gherkin
n07718671,gherkin
n07914995,gimlet
n07904395,gin
n07814925,ginger
n12355760,ginger
n07815163,ginger
n07744430,gooseberry
n12806015,gooseberry
n07590320,goulash
n07758680,grape
n07903962,grappa
n07837912,gravy
n07838073,gravy
n07709333,greens
n03460040,grinder
n07802767,grist
n07802863,groats
n07904865,grog
n02568959,grouper
n01795088,grouse
n02312006,grub
n07704054,gruel
n12333771,guava
n07765361,guava
n12333530,guava
n07585906,gumbo
n07733394,gumbo
n07605944,gumdrop
n07698250,gyro
n02523877,haddock
n07869111,haggis
n02524524,hake
n02660208,halibut
n07697100,hamburger
n07694839,hardtack
n12557438,haricot
n07869391,hash
n07802026,hay
n07772788,hazelnut
n12288823,hazelnut
n13865904,heart
n07811416,herb
n12205694,herb
n02532028,herring
n07912211,highball
n07688412,hoecake
n07732302,hominy
n07858978,honey
n07756325,honeydew
n07886176,hooch
n12854048,horehound
n07606419,horehound
n11873182,horseradish
n07824383,horseradish
n07743384,huckleberry
n12236546,huckleberry
n07890970,hydromel
n07935288,hyson
n12848499,hyssop
n07816575,hyssop
n07560422,ingesta
n07642933,jam
n07643306,jelly
n07923748,juice
n07765999,jujube
n13143285,jujube
n07606058,jujube
n07915491,julep
n07585997,julienne
n07708124,julienne
n07611733,junket
n07869775,kabob
n07714078,kale
n07886317,kava
n07869937,kedgeree
n07567980,kibble
n02597608,kingfish
n02579303,kingfish
n07904072,kirsch
n07878479,kishke
n07606764,kiss
n07624757,knish
n11877283,kohlrabi
n07733567,kohlrabi
n07560542,kosher
n07925808,koumiss
n07910245,kummel
n07749446,kumquat
n12713063,kumquat
n07890617,kvass
n07572616,larder
n07870167,lasagna
n07723039,leek
n07708798,legume
n11747468,legume
n11748002,legume
n05716342,lemon
n07749582,lemon
n12711596,lemon
n07926250,lemonade
n12544240,lentil
n12544539,lentil
n07725255,lentil
n07723559,lettuce
n12532886,licorice
n07607361,licorice
n07749731,lime
n12711984,lime
n07926346,limeade
n01948573,limpet
n02553028,lingcod
n07907943,liqueur
n07901587,liquor
n07766173,litchi
n12744387,litchi
n07875086,loblolly
n01982650,lobster
n07607605,lollipop
n12629666,loquat
n07763792,loquat
n07818825,lovage
n12940226,lovage
n07607707,lozenge
n07575076,lunch
n02624167,mackerel
n07900734,malmsey
n07888909,malt
n07889274,malt
n07766530,mamey
n12761284,mango
n07764155,mango
n07910379,maraschino
n07620689,maraschino
n07672914,margarine
n07824502,marinade
n07838441,marinara
n07818995,marjoram
n07643764,marmalade
n07586099,marmite
n05285623,marrow
n07873057,marrow
n12159555,marrow
n07716504,marrow
n07608098,marshmallow
n07916041,martini
n07608245,marzipan
n07805254,mash
n07591813,matelote
n07684164,matzo
n07834507,mayonnaise
n07573696,meal
n07567707,meal
n07871436,meatball
n07767002,medlar
n12636224,medlar
n07766891,medlar
n07755411,melon
n07565083,menu
n11849271,mescal
n07905770,mescal
n07650792,mess
n03751065,mess
n07565608,mess
n05399034,milk
n07844042,milk
n07844604,milk
n11754893,mimosa
n07930315,mimosa
n07650903,mince
n07606278,mint
n07819166,mint
n03772269,mint
n07857170,miso
n07882886,mix
n03775388,mixer
n07913180,mixer
n03775199,mixer
n07920872,mocha
n07920989,mocha
n07859951,molasses
n07902520,moonshine
n12643877,morello
n07758260,morello
n07872593,moussaka
n07611839,mousse
n03794136,mousse
n07611991,mousse
n07690273,muffin
n12399132,mulberry
n07767171,mulberry
n02601344,mullet
n02599958,mullet
n07901457,muscat
n07760153,muscat
n07734744,mushroom
n13000891,mushroom
n13001041,mushroom
n12997919,mushroom
n02561514,muskellunge
n07755707,muskmelon
n01963571,mussel
n07713763,mustard
n11878283,mustard
n07819480,mustard
n12719684,nasturtium
n07819769,nasturtium
n07924276,nectar
n12648196,nectarine
n07751148,nectarine
n07927070,negus
n03824284,nightcap
n07577538,nosh
n07608339,nougat
n07815424,nutmeg
n11714382,nutmeg
n07570720,nutriment
n12109827,oat
n07804152,oat
n07685303,oatcake
n07874995,oatmeal
n07568502,oatmeal
n01970164,octopus
n07891095,oenomel
n12172364,okra
n12171966,okra
n04974340,olive
n12301180,olive
n12301445,olive
n07767344,olive
n07842753,omelet
n12433081,onion
n07722217,onion
n07935379,oolong
n07747607,orange
n04965179,orange
n12708293,orange
n07926442,orangeade
n12853287,oregano
n07904934,ouzo
n07591961,paella
n07762114,papaw
n12373100,papaya
n07762244,papaya
n07824702,paprika
n07616386,parfait
n12942395,parsley
n07819896,parsley
n12941536,parsnip
n07735404,parsnip
n01807496,partridge
n07863374,pasta
n07623136,pastry
n08616050,pasture
n07857959,pate
n07663899,patty
n07599468,patty
n11695599,pawpaw
n07725376,pea
n12560282,pea
n12651611,pear
n07767847,pear
n07774719,pecan
n12321077,pecan
n07605804,penuche
n07815588,pepper
n07720442,pepper
n07606538,peppermint
n12856091,peppermint
n07937344,perishable
n07883661,philter
n07928578,phosphate
n02561661,pickerel
n07824988,pickle
n07576438,picnic
n07713267,pieplant
n11824146,pigweed
n07873464,pilaf
n02533209,pilchard
n07721195,pimento
n07753275,pineapple
n12607456,pineapple
n07624924,pirogi
n07775050,pistachio
n12761702,pistachio
n07683617,pita
n07873807,pizza
n02658531,plaice
n12352990,plantain
n07768423,plantain
n07896994,plonk
n07751451,plum
n12638218,plum
n07874531,poi
n12345280,pomegranate
n07768694,pomegranate
n07750146,pomelo
n12709103,pomelo
n02579557,pompano
n12145477,popcorn
n07732636,popcorn
n07690739,popover
n02590987,porgy
n07874780,porridge
n07900825,port
n07587023,potage
n07710616,potato
n07907342,poteen
n07709172,potherb
n07883251,potion
n07574176,potluck
n07875152,potpie
n07587111,pottage
n07608866,praline
n01987545,prawn
n07695742,pretzel
n07752602,prune
n07617188,pudding
n07612996,pudding
n07612632,pudding
n02655020,puffer
n01793249,pullet
n07905618,pulque
n07709046,pulse
n07735510,pumpkin
n12158443,pumpkin
n07930554,punch
n04023249,punch
n07651025,puree
n01958038,quahog
n01806567,quail
n12192877,quandong
n07769306,quandong
n12193334,quandong
n12736603,quandong
n07769584,quince
n12628986,quince
n11895092,radish
n11894770,radish
n07735687,radish
n07592656,ragout
n07752664,raisin
n12745386,rambutan
n07769731,rambutan
n07937621,ramekin
n04050933,ramekin
n12655869,raspberry
n07745466,raspberry
n07911061,ratafia
n07565725,ration
n07832592,ravigote
n02535258,redfish
n07914128,refresher
n07574504,refreshment
n07582441,relish
n07897116,retsina
n12602980,rhubarb
n07804323,rice
n07932614,rickey
n07854614,ricotta
n07875436,risotto
n07866277,rissole
n02644113,rockfish
n07785487,rollmops
n04971313,rose
n12620196,rose
n02644817,rosefish
n07820145,rosemary
n12864160,rosemary
n07922512,rotgut
n07568818,roughage
n07875560,roulade
n07839478,roux
n12707199,rue
n07820297,rue
n07905038,rum
n11877860,rutabaga
n07736087,rutabaga
n12157179,rye
n12134025,rye
n07907429,rye
n07859142,saccharin
n12416703,saffron
n07827284,saffron
n02630281,sailfish
n07891433,sake
n07806221,salad
n07592922,salmi
n12027222,salsify
n07735052,salsify
n07813107,salt
n07695187,saltine
n07911249,sambuca
n07695965,sandwich
n07855188,sapsago
n02532602,sardine
n12470092,sarsaparilla
n07928998,sarsaparilla
n07879350,sashimi
n07816052,sassafras
n11707229,sassafras
n07829412,sauce
n07876189,sauerkraut
n07655263,saute
n07820814,savory
n12866968,savory
n07594840,savory
n13874558,scallop
n01965889,scallop
n07876550,scampi
n07905474,schnapps
n07690892,scone
n07876893,scrapple
n02593679,scup
n02593453,scup
n07936979,seltzer
n07570021,semolina
n02530421,shad
n12433178,shallot
n07723177,shallot
n04183957,shank
n04184095,shank
n07888378,shebeen
n07615289,sherbert
n07900958,sherry
n07694659,shortcake
n04207151,shoulder
n04214282,sidecar
n07917392,sidecar
n07801342,silage
n07686634,simnel
n04239639,sling
n04239436,sling
n07917618,sling
n07752109,sloe
n07805006,slop
n04243142,slops
n02540412,smelt
n07593199,smorgasbord
n04248209,snap
n07616265,snowball
n07616174,snowball
n02536165,sockeye
n07770180,sorb
n12137120,sorghum
n07860103,sorghum
n07736371,sorrel
n02389026,sorrel
n07935043,souchong
n07843464,souffle
n07583197,soup
n07918028,sour
n07599383,sourball
n11694664,soursop
n07761309,soursop
n12532564,soy
n07729485,soy
n07700003,spaghetti
n02540983,sparling
n07580253,special
n07812184,spice
n07736692,spinach
n07719437,sprout
n01814549,squab
n07715561,squash
n00479887,squash
n12158798,squash
n01971280,squid
n07566863,starches
n04309548,steamer
n04309348,steamer
n07588947,stew
n07918309,stinger
n07803895,stodge
n07890352,stout
n07802246,stover
n07745940,strawberry
n07678729,stuffing
n07879072,succotash
n07859284,sugar
n07879174,sukiyaki
n07760395,sultana
n02562315,sunfish
n07575984,supper
n01594372,swallow
n07858595,sweetening
n07761611,sweetsop
n11695085,sweetsop
n07918706,swizzle
n02629716,swordfish
n07613158,syllabub
n07859583,syrup
n07609407,taffy
n07879659,tamale
n07764630,tamarind
n12501202,tamarind
n12711182,tangelo
n07748574,tangelo
n12710295,tangerine
n07748416,tangerine
n07619881,tapioca
n11786539,taro
n07736813,taro
n11786843,taro
n11930203,tarragon
n07821610,tarragon
n07932841,tea
n07933274,tea
n07575510,tea
n07879953,tempura
n07905979,tequila
n07880080,teriyaki
n07880213,terrine
n07821758,thyme
n12870535,thyme
n07625324,timbale
n07934032,tisane
n07686873,toast
n07734017,tomato
n07929172,tonic
n07860208,treacle
n07613480,trifle
n02537085,trout
n07736971,truffle
n12985420,truffle
n07609632,truffle
n07556872,tuck
n02626762,tuna
n02527057,tuna
n11852148,tuna
n02663211,turbot
n07821919,turmeric
n12356395,turmeric
n07735803,turnip
n11877646,turnip
n07624466,turnover
n12086539,vanilla
n07900225,varietal
n07707451,vegetable
n07564971,vegetarianism
n07840027,veloute
n07899108,vermouth
n07593471,viand
n07828987,vinegar
n07892418,vintage
n07906111,vodka
n07687053,wafer
n07771212,walnut
n12318378,walnut
n07931280,wassail
n11869689,watercress
n07732904,watercress
n07756951,watermelon
n02599347,weakfish
n13919547,wedge
n04569520,wedge
n04569822,wedge
n07698672,western
n07803545,wheat
n12142085,wheat
n01947396,whelk
n07849733,whey
n07906284,whiskey
n02530052,whitebait
n02538985,whitefish
n02637977,whiting
n02523110,whiting
n02597367,whiting
n07739035,windfall
n07891726,wine
n12256112,wintergreen
n07743723,wintergreen
n13085747,wort
n07889193,wort
n12088223,yam
n12087961,yam
n07711907,yam
n07712267,yam
n07849336,yogurt
n01464844,yolk
n07716358,zucchini
n12159804,zucchini
n07689842,zwieback
